Region,Cases,Population
East England,27565,5846965
East Midlands,20841,4533222
London,33640,8173941
North East England,11016,2596886
North West England,31096,7052177
Scotland,294,5295403
South East England,48242,8634750
South West England,25603,5288935
Wales,393,3063456
West Midlands,25252,5601847
Yorkshire and The Humber,27890,5283733
